# {"t_start": 1765801489.3571959, "env_id": "Bpp-v0"} 
r,l,t
3.8,11,2.327614
2.66,11,4.16898
1.66,8,5.165024
4.3,9,6.954677
1.44,8,8.678644
1.35,5,9.603928
5.0,9,11.583626
1.85,5,12.459622
2.48,6,13.388283
3.0,11,15.174961
1.72,5,16.069642
3.8,9,17.824669
3.06,10,19.884314
1.54,6,20.772333
1.92,8,22.466971
3.08,10,24.218351
3.16,14,26.202981
1.64,7,27.940557
0.0,1,27.974559
1.98,8,29.968578
3.04,10,31.765876
2.96,10,33.549564
2.16,8,34.555196
3.84,14,37.241883
1.52,5,38.393904
1.11,4,39.246914
1.97,8,40.255572
5.4,16,43.730211
3.4,8,44.745559
4.0,12,47.585272
4.64,16,50.298582
2.06,7,51.252582
3.6,12,53.818917
3.36,9,54.822599
1.68,11,57.596218
3.3,11,59.362218
3.56,14,61.961897
1.44,6,62.882876
2.04,8,63.85718
2.22,8,65.82218
2.52,10,67.588838
5.1,11,69.431859
4.5,8,71.140178
6.6,13,73.066861
2.12,12,75.914112
2.0,10,77.701145
4.4,11,79.507748
2.5,6,80.453767
3.52,8,82.175417
1.95,7,83.132444
5.0,9,85.138408
4.14,15,87.832094
3.52,15,90.528412
1.52,9,92.30639
2.45,8,93.534078
4.1,10,95.305973
3.4,9,97.02663
2.37,7,98.709629
1.0,4,98.836656
4.8,17,102.519981
0.6,3,102.611981
3.0,9,104.322634
2.4,7,105.995279
2.4,7,106.9563
5.4,11,108.728966
3.52,13,111.591304
3.92,11,113.374304
2.8,9,115.128653
4.56,14,117.819253
1.83,8,118.831194
1.92,7,120.828852
4.3,15,123.534533
3.0,11,125.360228
2.4,7,126.31323
4.16,11,128.154424
3.25,6,130.105737
3.74,16,132.840124
3.36,10,134.609771
2.02,6,135.537468
5.04,12,137.357461
2.9,10,139.400912
4.48,18,142.84158
2.56,7,143.808454
3.82,11,146.328482
1.46,7,147.303481
1.85,4,148.412121
5.88,15,151.068436
1.6,4,151.953436
3.64,10,153.742057
1.6,9,154.75375
2.42,8,156.491421
1.53,7,157.715403
4.28,14,160.414051
3.04,13,163.025681
3.4,20,166.870349
3.85,7,167.801324
4.9,9,169.571943
2.0,10,171.345615
2.44,9,173.101282
1.8,6,174.012939
4.9,10,176.019577
3.48,9,177.770216
1.4,8,178.843212
2.66,10,180.681612
1.84,5,181.552631
4.5,5,182.433612
3.92,12,185.274015
4.6,13,187.110645
2.81,10,188.88165
2.64,7,190.590997
4.94,13,192.463999
4.48,15,195.450294
4.4,13,198.071941
4.0,9,199.808575
3.95,15,202.595248
3.13,8,203.83523
2.64,7,205.549172
1.49,6,206.4852
2.3,12,208.331828
3.68,11,210.896147
5.2,10,212.892116
2.88,8,213.861808
5.25,11,215.643447
3.96,12,218.226098
3.7,7,219.168097
5.2,8,220.901734
4.07,20,224.685092
4.94,13,226.554812
5.6,20,230.121126
3.62,11,232.944778
2.39,9,233.94938
5.75,12,236.566475
5.7,9,238.277603
2.44,8,239.300624
4.24,14,242.189283
2.28,5,243.081282
1.98,6,244.010566
2.6,11,245.849567
3.84,12,248.561597
3.0,16,251.833207
4.25,6,252.743894
2.23,8,254.435622
2.4,8,255.434625
5.2,13,258.04629
3.0,9,260.062701
1.5,7,261.084701
1.8,7,262.792383
2.5,5,263.683918
3.6,9,264.698247
3.2,12,267.274258
3.02,10,269.297961
2.0,10,271.237358
3.04,9,273.013786
4.55,13,274.916159
5.7,12,277.782616
3.05,6,278.716618
3.35,12,280.580311
6.84,17,284.093238
3.2,11,285.949924
3.48,10,287.981943
7.0,17,290.732266
3.18,12,293.300921
4.3,17,296.324164
2.78,8,298.050813
3.8,8,299.025815
5.78,18,302.537644
4.96,13,304.415928
3.04,8,306.392967
4.01,12,308.222618
4.6,11,310.794949
3.38,10,312.582663
6.0,16,315.577954
4.3,12,317.416974
4.56,16,320.1673
4.25,18,323.984984
3.6,9,325.768307
5.48,13,327.676621
5.28,13,330.347959
4.55,9,332.102597
2.28,9,334.077282
4.25,13,335.930283
3.74,13,338.52099
2.43,7,339.451967
4.0,10,341.245617
3.66,11,343.277306
5.32,17,346.733647
3.0,11,348.545312
1.68,10,350.367996
3.9,16,353.328649
